order_id,product_id,category,price,base_price,amount,status,user_id,region,priority,order_date,quantity,payment_method,old_name
ORD100166,P1081,Clothing,171.96,1493.14,4833.38,Refunded,U2772,South,Medium,2025-06-06,18,COD,item_116
ORD100167,P1300,Sports,,102.71,1567.98,Processing,U3177,East,High,2024-07-14,5,COD,item_346
ORD100168,P1312,Electronics,2787.62,3182.31,1750.45,Processing,U2755,East,High,2024-02-02,20,UPI,item_321
ORD100169,P1663,Clothing,,1449.01,6606.92,Cancelled,U3004,North,Medium,2025-08-17,16,UPI,item_220
ORD100170,P1099,Furniture,4449.75,2273.66,6137.34,Pending,U2267,Central,Low,2024-11-12,20,Credit Card,item_155
ORD100171,P1440,Clothing,,3805.61,585.6,Processing,U2931,East,High,2024-05-03,5,Debit Card,item_351
ORD100172,P1685,Electronics,4907.99,3634.61,2324.04,Completed,U2089,East,High,2025-08-18,20,Debit Card,item_185
ORD100173,P1714,Furniture,2067.88,3965.09,7168.29,Processing,U2387,West,Low,2024-10-22,9,Debit Card,item_180
ORD100174,P1205,Groceries,1147.37,2812.88,4774.76,Processing,U3481,West,Medium,2024-11-27,20,Credit Card,item_72
ORD100175,P1312,Groceries,760.14,138.47,2733.91,Refunded,U2168,West,Low,2025-07-10,15,COD,item_318
ORD100176,P1658,Furniture,3603.88,642.53,2071.45,Processing,U2340,North,Medium,2024-01-31,11,Debit Card,item_327
ORD100177,P1955,Electronics,4225.43,1470.49,3507.79,Processing,U3324,East,Medium,2025-08-15,14,COD,item_444
ORD100178,P1029,Sports,759.67,1877.78,4631.32,Cancelled,U2732,East,Medium,2025-07-05,19,Net Banking,item_375
ORD100179,P1622,Books,4845.77,3341.9,983.91,Cancelled,,East,High,2024-09-27,1,UPI,item_347
ORD100180,P1897,Groceries,2145.27,1220.91,7471.55,Pending,U2126,East,Low,2025-03-24,8,Net Banking,item_394
ORD100181,P1926,Clothing,1887.45,368.38,6882.93,Refunded,U3083,South,Low,2025-08-24,15,Debit Card,item_321
ORD100182,P1305,Electronics,4522.38,3379.86,2386.22,Completed,U3304,West,Low,2024-09-18,20,COD,item_179
ORD100183,P1307,Electronics,3713.11,3686.52,3078.93,Completed,U3442,East,Medium,2024-06-15,19,Credit Card,item_116
ORD100184,P1184,Electronics,4915.19,1249.0,1904.23,Pending,U2750,North,Low,2025-08-23,9,Credit Card,item_347
ORD100185,P1458,Furniture,4995.93,405.12,4189.14,Completed,,Central,Medium,2025-08-10,16,Debit Card,item_123
ORD100186,P1956,Groceries,1887.87,2119.59,2778.08,Refunded,U2436,Central,High,2024-08-22,13,UPI,item_125
ORD100187,P1194,Groceries,,1433.83,980.84,Cancelled,U3292,South,Medium,2025-04-22,9,Net Banking,item_144
ORD100188,P1232,Toys,2065.15,1391.32,2807.53,Pending,U3279,West,Medium,2025-05-09,3,Net Banking,item_408
ORD100189,P1201,Furniture,4955.36,3172.32,1511.81,Pending,U2707,Central,Low,2024-04-05,18,Debit Card,item_121
ORD100190,P1263,Clothing,4458.02,671.09,7383.24,Completed,U3113,West,Medium,2024-08-20,2,COD,item_151
ORD100191,P1326,Clothing,4981.76,1412.67,6603.58,Processing,U2879,South,High,2025-09-19,15,Credit Card,item_232
ORD100192,P1404,Groceries,534.42,2939.28,1853.79,Refunded,U2734,Central,Low,2025-09-29,6,UPI,item_12
ORD100193,P1516,Sports,4337.11,2847.63,7429.19,Completed,U3017,Central,High,2024-10-12,5,UPI,item_89
ORD100194,P1233,Toys,2006.47,1742.84,3197.19,Refunded,U2027,North,Medium,2025-06-25,4,Debit Card,item_376
ORD100195,P1103,Electronics,1615.52,2041.72,7468.26,Refunded,U3319,East,Medium,2024-09-25,11,UPI,item_412
ORD100196,P1212,Groceries,4606.61,3751.41,5935.51,Pending,U3229,West,Low,2024-06-15,9,Credit Card,item_299
ORD100197,P1055,Clothing,2549.76,361.12,7353.12,Refunded,U3254,North,High,2024-10-24,2,Net Banking,item_374
ORD100198,P1329,Groceries,4117.76,3189.28,6787.68,Cancelled,U2447,South,High,2025-03-03,2,COD,item_64
ORD100199,P1055,Groceries,1426.5,3629.88,5808.68,Cancelled,U2764,South,Medium,2025-03-01,8,Credit Card,item_489
ORD100200,P1973,Books,529.9,334.85,6129.21,Cancelled,U3302,North,High,2025-07-02,1,Debit Card,item_308
ORD100201,P1391,Sports,2379.99,3635.5,3822.48,Processing,U2866,North,Medium,2024-02-29,1,COD,item_142
ORD100202,P1827,Groceries,2937.9,3217.95,1631.7,Cancelled,U3125,East,Low,2024-10-28,1,COD,item_193
ORD100203,P1000,Groceries,989.7,796.34,5991.94,Completed,U2999,East,Low,2024-10-08,3,Net Banking,item_341
ORD100204,P1944,Furniture,,2007.16,7105.94,Cancelled,U3083,South,Medium,2024-07-27,16,Credit Card,item_356
ORD100205,P1605,Electronics,2664.92,63.68,495.09,Pending,U3386,South,Medium,2024-01-07,11,UPI,item_121
ORD100206,P1482,Electronics,4492.52,2534.43,3483.61,Cancelled,U2541,North,Low,2025-02-05,6,COD,item_78
ORD100207,P1819,Electronics,1946.99,1194.39,5783.94,Processing,U2683,Central,Low,2024-08-19,4,COD,item_103
ORD100208,P1689,Books,2671.5,3849.94,4224.23,Processing,U2096,West,Medium,2024-01-08,5,COD,item_3
ORD100209,P1394,Toys,1489.77,2527.19,5677.58,Cancelled,U2846,North,Medium,2024-01-03,10,Net Banking,item_205
ORD100210,P1834,Toys,4191.93,3190.49,5988.8,Processing,U2164,East,Low,2024-08-15,17,Net Banking,item_445
ORD100211,P1444,Electronics,3397.47,1382.49,5230.22,Pending,U2709,West,High,2024-04-18,10,Debit Card,item_72
ORD100212,P1465,Sports,118.77,322.32,6578.14,Refunded,U2076,North,Low,2024-06-09,11,Net Banking,item_170
ORD100213,P1732,Sports,1826.98,337.59,7850.07,Pending,,South,Medium,2025-08-17,17,Credit Card,item_490
ORD100214,P1024,Sports,1495.69,3408.5,1376.98,Refunded,U2392,North,High,2025-07-18,6,Net Banking,item_264
ORD100215,P1695,Groceries,4643.35,3015.87,4359.45,Completed,U2119,Central,Medium,2024-06-20,5,UPI,item_144
ORD100216,P1005,Sports,1422.58,3861.32,4618.11,Pending,U2704,North,High,2024-11-20,16,COD,item_360
ORD100217,P1251,Sports,739.82,3892.16,7435.78,Cancelled,,East,High,2025-06-26,2,Net Banking,item_255
ORD100218,P1960,Furniture,,2613.97,5736.9,Refunded,U3391,North,High,2024-01-15,8,UPI,item_167
ORD100219,P1714,Sports,708.38,1300.29,5848.42,Completed,U2739,South,High,2024-08-23,20,Debit Card,item_498
ORD100220,P1153,Groceries,1167.21,1001.09,7833.4,Refunded,U2628,Central,High,2025-05-04,9,UPI,item_205
ORD100221,P1759,Electronics,4851.97,2596.81,533.45,Completed,U2844,South,Medium,2025-02-25,5,Debit Card,item_22
ORD100222,P1519,Books,1431.63,1874.03,5833.94,Refunded,U3196,East,Medium,2024-03-14,18,Credit Card,item_277
ORD100223,P1734,Sports,1912.07,2152.22,4658.05,Processing,U2584,South,Medium,2024-10-24,15,UPI,item_434
ORD100224,P1983,Toys,3795.85,2823.65,3632.58,Cancelled,U2246,South,Medium,2025-09-07,12,COD,item_119
ORD100225,P1964,Books,4257.5,2109.11,1864.47,Refunded,U2588,East,Medium,2024-09-16,5,UPI,item_132
ORD100226,P1157,Sports,391.23,318.74,188.03,Completed,U2802,West,High,2025-02-26,2,Credit Card,item_215
ORD100227,P1939,Sports,1028.67,3122.0,6599.57,Completed,U2674,Central,Medium,2025-03-10,9,UPI,item_111
ORD100228,P1782,Furniture,795.34,752.47,996.21,Processing,U2290,North,Medium,2024-05-12,7,COD,item_484
ORD100229,P1211,Electronics,1199.82,177.35,4437.12,Refunded,,East,Low,2024-10-02,10,Debit Card,item_158
